task_id,required_skills,num_experts
1,"Data Mining, NLP, Network Security, Software Engineering, Artificial Intelligence",2
2,"Software Engineering, Computer Vision, Database Systems, Network Security, Business Intelligence",2
3,"Software Engineering, Machine Learning, NLP, Deep Learning, Blockchain",2
4,"Deep Learning, Data Mining, Database Systems, Artificial Intelligence, IoT",2
5,"Cloud Computing, Blockchain, Data Visualization, IoT, Cybersecurity",2
6,"Data Mining, Artificial Intelligence, Reinforcement Learning, Business Intelligence, Big Data",2
7,"Machine Learning, Blockchain, Database Systems, Software Engineering, Data Visualization",2
8,"Blockchain, Data Mining, Network Security, Cloud Computing, Big Data",2
9,"Data Mining, Database Systems, Computer Vision, Cloud Computing, Optimization",2
10,"Data Mining, Software Engineering, Data Visualization, NLP, Machine Learning",2
11,"Data Visualization, Data Analysis, Robotics, Machine Learning, Software Engineering",2
12,"Cybersecurity, Data Analysis, Artificial Intelligence, Cloud Computing, Network Security",2
13,"IoT, Database Systems, Business Intelligence, Big Data, Cybersecurity",2
14,"Big Data, Data Analysis, Artificial Intelligence, Optimization, Data Visualization",2
15,"Data Mining, Big Data, Reinforcement Learning, Deep Learning, Robotics",2
16,"Machine Learning, Deep Learning, Cybersecurity, IoT, Network Security",2
17,"Data Analysis, Business Intelligence, Reinforcement Learning, NLP, Artificial Intelligence",2
18,"Artificial Intelligence, NLP, Machine Learning, Deep Learning, IoT",2
19,"Cloud Computing, Cybersecurity, Machine Learning, Data Visualization, NLP",2
20,"Data Visualization, Optimization, Big Data, Data Mining, IoT",2
21,"Machine Learning, Cybersecurity, NLP, Database Systems, Reinforcement Learning",2
22,"Data Mining, Robotics, Software Engineering, Network Security, Optimization",2
23,"Robotics, Artificial Intelligence, IoT, Computer Vision, Software Engineering",2
24,"Software Engineering, NLP, Robotics, IoT, Deep Learning",2
25,"Computer Vision, Network Security, NLP, Cloud Computing, Artificial Intelligence",2
26,"Artificial Intelligence, NLP, Network Security, IoT, Reinforcement Learning",2
27,"Artificial Intelligence, Blockchain, Software Engineering, Data Analysis, Computer Vision",2
28,"NLP, Data Visualization, Deep Learning, Machine Learning, Cloud Computing",2
29,"Data Mining, Machine Learning, NLP, Database Systems, Data Visualization",2
30,"IoT, Robotics, Data Mining, Data Analysis, Cloud Computing",2
31,"Blockchain, Data Mining, Machine Learning, Data Visualization, Cloud Computing",2
32,"Big Data, Optimization, Blockchain, Business Intelligence, Database Systems",2
33,"NLP, Data Mining, Computer Vision, Cloud Computing, Data Analysis",2
34,"Cybersecurity, Robotics, Business Intelligence, Optimization, Data Visualization",2
